type,indicator,operator,brand,asn,first_seen,passive_priority,notes
ip,212.73.134.129,B,Subito,AS34224,2025-02,critical,"REAL ORIGIN"
ip,89.117.1.140,B,Subito,AS142036,2025-01,critical,"REAL ORIGIN (subito-dati.com)"
ip,38.180.194.236,B,Subito,AS9009,2024-09,critical,"REAL ORIGIN"
ip,194.102.39.119,B,Subito,AS9009,2022-09,critical,"REAL ORIGIN"
ip,199.192.31.14,B,Subito,AS22612,2023-05,critical,"REAL ORIGIN (it-subito.it)"
ip,66.29.141.228,B,Subito,AS22612,2022-12,critical,"REAL ORIGIN"
ip,176.105.253.99,B,Subito,AS210779,2024-01,critical,"REAL ORIGIN"
ip,185.166.188.245,B,Subito,AS47583,2022-12,critical,"REAL ORIGIN (confermaindirizzo)"
ip,82.221.129.16,B,Subito,AS50613,2021-10,critical,"REAL ORIGIN"
ip,82.221.105.39,B,Subito,AS50613,2022-01,critical,"REAL ORIGIN"
domain,login-subito.it,B,Subito,AS210558,2025-05,high,"Operator B PHP kit"
domain,supportodati.com,B,Subito,AS34224,2025-05,high,"Operator B PHP kit"
domain,controlli-subito.it,B,Subito,AS210558,2025-05,high,"Operator B PHP kit"
domain,verificasubito.it,B,Subito,AS210558,2026-02,high,"Operator B PHP kit"
domain,verificatisubito.it,B,Subito,AS210558,2025-09,high,"Operator B PHP kit"
domain,conferma-subito.me,B,Subito,AS210558,2022-10,high,"Operator B PHP kit"
domain,consegna-subito.info,B,Subito,AS210558,2023-10,high,"Operator B PHP kit"
domain,supportosubito.it,B,Subito,AS210558,2025-07,high,"Operator B PHP kit"
domain,subito-dati.com,B,Subito,AS142036,2025-01,high,"Operator B PHP kit"
domain,conferma-subito.com,B,Subito,AS34224,2025-02,high,"Operator B PHP kit"
domain,datispedizione.com,B,Subito,AS34224,2025-03,high,"Operator B PHP kit"
domain,utentesubito.it,B,Subito,AS210558,2025-12,high,"Operator B PHP kit"
domain,verifa.cc,unknown,Subito,N/A,2024-10,medium,"sibling; status client hold (NameSilo)"
endpoint,/a/<base64token>,A,kit,N/A,2026,info,"lure entry; token=base64('2/<id>')"
endpoint,/helpdesk/<decoded-id>/<brand>,A,kit,N/A,2026,info,"personalised fake listing (iframe)"
endpoint,/m/<token>/<base64(stripe/<cc>)>,A,kit,N/A,2026,info,"card-capture module (34 country variants)"
endpoint,/cdn/<32hex>,A,kit,N/A,2026,info,"kit assets"
endpoint,/static/helpdesk/audio/blackberry.mp3,A,kit,N/A,2026,info,"chat notification sound"
endpoint,/api/v1/storage/<date>/<asset>,A,kit,N/A,2026,info,"brand template docs (Romanian observed)"
endpoint,/geoip,A,kit,N/A,2026,info,"-> api.ip.sb (cloak/geo)"
websocket,wss://<host>/ws/helpdesk,A,kit,N/A,2026,info,"operator console (live chat/control)"
websocket,wss://<host>/api/ws/stripe/sync,A,kit,N/A,2026,info,"CARD-DATA EXFIL channel"
websocket,wss://<host>/api/ws/sync,A,kit,N/A,2026,info,"state sync"
3rd-party,api.ip.sb/geoip,A,kit,N/A,2026,info,"victim geo for cloaking"
3rd-party,lookup.binlist.net,A,kit,N/A,2026,info,"card BIN -> issuer/bank"
3rd-party,data.handyapi.com/bin/,A,kit,N/A,2026,info,"card BIN -> issuer/bank"
3rd-party,v2.simpalsid.com/graphql,A,kit,N/A,2026,info,"Simpals/OLX auth relay"
3rd-party,nominatim.openstreetmap.org,A,kit,N/A,2026,info,"reverse geocode"
3rd-party,cdn.jsdelivr.net,A,kit,N/A,2026,info,"currency-api"
nameserver,ashton.ns.cloudflare.com|rose.ns.cloudflare.com,A,OLX,AS13335,2026,high,"CF account fingerprint - OLX cluster"
nameserver,amy.ns.cloudflare.com|quincy.ns.cloudflare.com,A,Subito,AS13335,2026,high,"CF account fingerprint - verifieer.cc"
nameserver,diana.ns.cloudflare.com|jake.ns.cloudflare.com,A,Subito,AS13335,2026,high,"CF account fingerprint - subito.cam"
